name_customer,cust_number,doc_id,total_open_amount,due_in_date,paymentPredictedDate
SA in,200759878,1930615377,26887.68,3/23/2020,3/18/2020
LES ENTRE ,100029649,-2147483648,28016.38,3/20/2020,3/23/2020
LOB corp,140104409,-2147483648,7814.54,3/23/2020,3/21/2020
WAL-MAR ,200769623,1930621472,57.71,3/23/2020,3/24/2020
WAL-MAR corp,200769623,1930619231,54073.24,3/23/2020,5/7/2020
WAL-MAR in,200769623,1930618933,26111.66,3/23/2020,3/22/2020
KROGE in,200776463,1930612117,17845.36,3/23/2020,3/23/2020
WAL-MAR us,200769623,1930622659,37555.85,3/23/2020,3/30/2020
C&S WH associates,200762301,1930620577,22483.98,3/23/2020,3/20/2020
SOB co,140104249,-2147483648,18097.46,3/27/2020,5/22/2020
BJ'S  corp,200726979,1930630502,260.32,3/23/2020,3/24/2020
WAL-MAR in,200769623,1930619705,16523.02,3/23/2020,3/23/2020
BJ'S  co,200726979,1930618280,293.13,3/23/2020,4/7/2020
WAL-MAR foundation,200769623,1930619549,5976.99,3/23/2020,3/27/2020
C&S WH co,200762301,1930618532,28084.06,3/23/2020,3/29/2020
POWE foundation,200891601,1930593966,7948.8,4/7/2020,3/17/2020
WAL-MAR trust,200769623,1930612204,15930.46,3/23/2020,3/20/2020
THE  corp,140106181,-2147483648,25674.48,3/27/2020,3/23/2020
C&S WH associates,200762301,1930620577,22483.98,3/23/2020,3/23/2020
LOB ,140104409,-2147483648,176209.62,3/20/2020,3/22/2020
WAL-MAR corp,200769623,1930620779,1898.9,3/23/2020,3/24/2020
WAL-MAR corporation,200769623,1930620017,1157.84,3/23/2020,3/22/2020
WAL-MAR us,200769623,1930623907,19757.67,3/23/2020,3/20/2020
BJ'S  llc,200726979,1930629361,130.62,3/23/2020,3/23/2020
SOB trust,140104249,-2147483648,157057.5,3/26/2020,4/13/2020
INTERR associates,200580232,1930617542,25323.35,3/18/2020,3/24/2020
WAL-MAR foundation,200769623,1930621871,33693.34,3/23/2020,3/26/2020
TARG corporation,200744019,1930618973,8707.83,3/23/2020,3/9/2020
FERN systems,200410851,1990571045,51162.64,4/12/2020,4/3/2020
WAL-MAR foundation,200769623,1930619528,42455.39,3/23/2020,3/27/2020
WAL-MAR corporation,200769623,1930622721,59268,3/23/2020,3/20/2020
WAL-MAR associates,200769623,1930619547,16102.37,3/23/2020,4/10/2020
WAL-MAR systems,200769623,1930620345,1329.23,3/23/2020,3/16/2020
WAL-MAR co,200769623,1930621991,8207.4,3/23/2020,7/17/2020
SA llc,200759878,1930612082,14609.81,3/23/2020,3/20/2020
KROGER systems,200729290,1930621170,62402.03,3/23/2020,3/20/2020
COSTCO co,140104429,-2147483648,742.79,3/21/2020,3/23/2020
BJ'S  llc,200726979,1930629361,130.62,3/23/2020,3/27/2020
WAL-MAR us,200769623,1930621905,7980.35,3/23/2020,3/23/2020
WAL-MAR llc,200769623,1930624076,870.3,3/23/2020,3/22/2020
WAL-MAR corp,200769623,1930617879,28688.74,3/23/2020,3/20/2020
WAL-MAR us,200769623,1930619955,13987.37,3/23/2020,3/27/2020
WAL-MAR associates,200769623,1930624238,55247.64,3/24/2020,4/10/2020
FAMILY trust,200786288,1930624020,71979.05,3/24/2020,3/29/2020
WAL-MAR associates,200769623,1930621072,16518.37,3/24/2020,3/21/2020
WAL-MAR associates,200769623,1930623313,71.11,3/24/2020,3/23/2020
WAL-MAR co,200769623,1930621222,661.11,3/24/2020,3/21/2020
DECA trust,200592182,1930623592,658.56,3/24/2020,3/20/2020
WAL-MAR in,200769623,1930620722,14325.15,3/24/2020,3/25/2020
COST corporation,200794332,1930620921,10094.93,3/24/2020,3/23/2020
WAL-MAR ,200769623,1930622708,35155.35,3/24/2020,3/23/2020
COST trust,200794332,1930623303,2597.75,3/24/2020,5/24/2020
US  ,200571849,1930620887,38795.19,3/24/2020,3/23/2020
WAL-MAR trust,200769623,1930623259,13930.85,3/24/2020,3/23/2020
DOLLA llc,200148860,1930619959,25636.24,3/24/2020,3/24/2020
COST trust,200794332,1930627678,2568.3,3/24/2020,3/24/2020
BJ'S  corporation,200726979,1930630158,494.79,3/24/2020,3/24/2020
WAL-MAR systems,200769623,1930630024,75947.52,3/24/2020,3/28/2020
SYSCO F associates,200736337,1930618291,5883.57,3/24/2020,3/29/2020
WAL-MAR trust,200769623,1930622709,11158.16,3/24/2020,3/21/2020
BJ'S  foundation,200726979,1930623142,1221.47,3/24/2020,3/21/2020
PARAM trust,140103335,1991839956,9142.9,4/8/2020,3/28/2020
TARG us,200744019,1930622671,3065.79,3/24/2020,3/21/2020
WAL-MAR trust,200769623,1930622277,16082.11,3/24/2020,3/19/2020
SMITH'S systems,200466603,1930624001,138850.61,3/24/2020,5/12/2020
WAL-MAR systems,200769623,1930625893,1898.9,3/24/2020,3/24/2020
KROGER trust,200752302,1930620508,15809,3/24/2020,3/25/2020
TARG associates,200744019,1930619539,19119.47,3/24/2020,3/21/2020
ALBERT foundation,200881076,1930624283,148710.98,3/24/2020,4/7/2020
COST associates,200794332,1930623302,1437.2,3/24/2020,3/24/2020
WAL-MAR co,200769623,1930620130,51513.26,3/24/2020,3/24/2020
BJ'S  llc,200726979,1930620935,56646.52,3/24/2020,3/21/2020
WAL-MAR co,200769623,1930622750,5707.64,3/24/2020,3/24/2020
WAL-MAR llc,200769623,1930623381,64752.18,3/24/2020,3/24/2020
SHOPPE systems,140105785,-2147483648,15443.16,3/21/2020,3/24/2020
BAUGH SU trust,200434439,1930627698,52036.3,3/24/2020,3/19/2020
BJ'S  us,200726979,1930629435,1094.54,3/24/2020,3/25/2020
KING S corp,200707005,1930620884,17538.72,3/24/2020,3/22/2020
WAL-MAR systems,200769623,1930624128,62170.77,3/24/2020,3/21/2020
COS systems,140103278,1991840312,6594.75,5/8/2020,3/29/2020
WALG corp,200712105,1930630073,9867.8,5/13/2020,3/22/2020
COSTCO us,140104429,-2147483648,44132.74,3/19/2020,3/22/2020
LOB in,140104409,-2147483648,138975.32,3/27/2020,3/27/2020
WAL-MAR ,200769623,1930623407,23857.67,3/24/2020,6/18/2020
SA co,200759878,1930614182,13696.5,3/24/2020,3/24/2020
BJ'S  co,200726979,1930622730,316.67,3/24/2020,3/24/2020
SA in,200729942,1930627765,5414.26,3/24/2020,3/24/2020
PERISH in,200526831,1930625093,145852.41,3/24/2020,3/31/2020
HEINZ us,CC6000,1991839779,10544.14,4/23/2020,3/25/2020
BJ'S  corporation,200726979,1930629473,356.21,3/24/2020,3/24/2020
WESTERN corporation,200736312,1930627162,38531.87,3/24/2020,3/24/2020
SUPE foundation,200793568,1930624311,1508.4,3/24/2020,3/23/2020
WAL-MAR trust,200769623,1930622268,72091.97,3/24/2020,4/21/2020
COST corp,200794332,1930606363,4334.53,3/24/2020,3/21/2020
HT HAC ,100013928,1930624859,11344.12,3/24/2020,3/24/2020
G T  co,140106372,-2147483648,42848.64,3/22/2020,3/29/2020
WAL-MAR ,200769623,1930622186,33909.8,3/24/2020,3/30/2020
WAKE associates,200704858,1930624141,113608.68,3/24/2020,3/23/2020
PERFOR llc,200722369,1930561584,19461.82,3/24/2020,3/24/2020
TARG llc,200744019,1930623676,108161.5,3/24/2020,3/24/2020
C&S WH associates,200762301,1930623458,177103.17,3/24/2020,3/23/2020
SYSCO F corp,200763814,1930627634,334.54,4/10/2020,3/22/2020
SUPE foundation,200793568,1930624311,1508.4,3/24/2020,3/21/2020
PERFOR llc,200172815,1930630335,34819.06,3/24/2020,3/23/2020
FAMILY associates,200786288,1930619367,74932.9,3/24/2020,3/24/2020
BJ'S  associates,200726979,1930623086,683.45,3/24/2020,3/24/2020
SAVE M associates,200775094,1930623557,78306.12,3/24/2020,4/10/2020
SUPE foundation,200936373,1930619965,14726.88,5/13/2020,3/25/2020
ASSOCIAT foundation,200772670,1930629631,65710.51,3/24/2020,3/23/2020
MITCH foundation,200799342,1930623872,3735.62,3/24/2020,3/18/2020
KROGER systems,200752302,1930628719,100159.59,3/24/2020,5/17/2020
SHAM ,200708411,1930623823,49706.01,3/24/2020,3/24/2020
ASSOCIA in,140101555,1991839771,7495.68,4/8/2020,3/21/2020
OK in,200739534,1930628166,40260.87,3/24/2020,3/21/2020
TARG corporation,200744019,1930622665,90400.08,3/24/2020,3/24/2020
SARA LE llc,100054980,1930617686,54655,4/23/2020,4/23/2020
UNITE corporation,200696090,1930604674,3470.2,3/24/2020,3/28/2020
WAL-MAR ,200769623,1930620029,13688.58,3/24/2020,4/19/2020
HEINZ corporation,CC6530,1991839693,14665.07,4/23/2020,3/31/2020
COSTCO trust,140104429,-2147483648,63755.15,3/22/2020,3/22/2020
WAL-MAR ,200769623,1930623110,5629.64,3/24/2020,3/24/2020
DOT us,200705742,1930624540,6938.32,4/12/2020,4/23/2020
BJ'S  trust,200726979,1930620830,419.8,3/24/2020,3/22/2020
WAL-MAR in,200769623,1930620785,24948.43,3/24/2020,3/27/2020
WAL-MAR in,200769623,1930623401,13123.54,3/24/2020,3/29/2020
BJ'S  us,200726979,1930624134,860.1,3/24/2020,4/1/2020
WAL-MAR llc,200769623,1930624113,60178.74,3/24/2020,3/23/2020
C&S WH co,200762301,1930609797,89490.16,3/24/2020,3/27/2020
COAS trust,200337148,1930627611,1646.82,3/24/2020,4/7/2020
C&S W co,200965912,1930627406,16189.71,5/13/2020,3/21/2020
WAL-MAR in,200769623,1930625024,15319.7,3/24/2020,3/28/2020
KROGE associates,200519201,1930623328,4169.04,3/24/2020,3/27/2020
WAL-MAR ,200769623,1930612202,14982.05,3/24/2020,5/10/2020
FR systems,200705372,1930620147,4338.29,3/24/2020,3/27/2020
EXCEL PRI llc,100050567,-2147483648,3984.61,3/21/2020,3/23/2020
BJ'S  systems,200726979,1930623063,529.31,3/24/2020,3/24/2020
DOT associates,200705742,1930622372,44520.38,3/24/2020,3/27/2020
ASSOC G associates,200782772,1930623692,70750.44,3/24/2020,3/24/2020
WAL-MAR systems,200769623,1930620786,14515.98,3/24/2020,3/27/2020
SHOPPE ,140105785,-2147483648,25957.78,3/27/2020,3/24/2020
COSTCO us,140104429,-2147483648,1095.25,3/20/2020,3/20/2020
COST foundation,200794332,1930617533,1959.21,3/24/2020,3/22/2020
AM llc,200418007,1930621775,35460.15,3/24/2020,3/27/2020
WAL-MAR in,200769623,1930625024,15319.7,3/24/2020,3/20/2020
WAL-MAR corporation,200769623,1930623320,22067.64,3/24/2020,3/16/2020
COST co,200794332,1930623640,17253.71,3/24/2020,3/27/2020
LOB corp,140104409,-2147483648,41177.92,3/29/2020,4/2/2020
C&S WH systems,200762301,1930624058,18954.49,3/24/2020,3/20/2020
VENT trust,200124052,1930620483,19231.41,4/18/2020,4/18/2020
SA in,200759878,1930611903,39520.1,3/24/2020,3/27/2020
SYSCO F corporation,200763814,1930627252,7080.68,4/10/2020,4/8/2020
AM us,200418007,1930606519,849.42,3/24/2020,3/27/2020
SO us,140104440,-2147483648,26093.9,3/21/2020,3/21/2020
CALIFO trust,100047674,1930627805,5040.16,4/8/2020,4/4/2020
PARAM llc,140103335,1991840221,3405.95,4/8/2020,4/12/2020
DECA associates,200592182,1930623954,1512.76,3/24/2020,3/25/2020
AM in,200418007,1930630167,7769.28,5/13/2020,5/9/2020
DELHAIZE corporation,100031704,1930624160,563.47,3/24/2020,3/31/2020
GORDON F llc,140105847,-2147483648,21535.35,3/21/2020,3/20/2020
SYSCO F associates,200736337,1930618291,5883.57,3/24/2020,3/27/2020
AM co,200418007,1930622128,42185.38,3/24/2020,3/24/2020
SUPER  corp,200749225,1930624523,106409.04,3/24/2020,3/22/2020
C&S WH co,200762301,1930621066,23360.79,3/24/2020,3/21/2020
WAL-MAR systems,200769623,1930629783,33167.57,3/24/2020,3/21/2020
PUBLI llc,200707822,1930625996,33889.34,3/24/2020,3/28/2020
GO corp,200721222,1930620882,31772.75,3/24/2020,3/24/2020
WAL-MAR associates,200769623,1930623313,71.11,3/24/2020,3/19/2020
PUBLI trust,200707822,1930624043,60497.44,3/24/2020,3/21/2020
AM llc,200418007,1930620190,176.16,5/13/2020,5/13/2020
WAL-MAR systems,200769623,1930621223,21045.35,3/24/2020,3/24/2020
COST us,200794332,1930620576,40455.53,3/24/2020,3/24/2020
GORDON F ,140105847,-2147483648,26963.9,3/22/2020,3/31/2020
WAL-MAR systems,200769623,1930612424,14429.82,3/24/2020,3/24/2020
ASSOCIA trust,140101555,1991840427,139693.68,4/8/2020,4/19/2020
SYSCO F systems,200718130,1930624662,20811.55,4/10/2020,3/22/2020
BOZZU us,200779906,1930617146,7879.06,3/24/2020,3/27/2020
C&S WH ,200762301,1930618539,17018.26,3/24/2020,4/8/2020
WAL-MAR us,200769623,1930619416,14658.69,3/24/2020,4/10/2020
COST systems,200794332,1930605255,43279.34,3/24/2020,3/28/2020
SMITH'S corp,200820380,1930621620,77340.94,3/24/2020,3/27/2020
COAS in,200337148,1930629583,33453.15,3/24/2020,3/20/2020
MARTIN ,140104472,-2147483648,11701.44,3/21/2020,4/21/2020
GROCE in,200573068,1930624532,24577.39,3/24/2020,3/28/2020
TARG us,200744019,1930622671,3065.79,3/24/2020,3/20/2020
WAL-MAR co,200769623,1930617886,542.37,3/24/2020,3/21/2020
FARN us,200037027,1930629595,21009.57,3/24/2020,3/29/2020
BJ'S  corporation,200726979,1930629949,1818.39,3/24/2020,3/24/2020
FAMILY foundation,200786288,1930623749,65116.57,3/24/2020,3/24/2020
HEINZ systems,CC6530,1991839692,20227.57,4/23/2020,3/27/2020
DOT ,200705742,1930624541,20458.23,4/10/2020,4/24/2020
SYSCO  ,200785971,1930624465,20094.75,4/10/2020,4/7/2020
BJ'S  llc,200726979,1930623199,1097.37,3/24/2020,4/14/2020
AM llc,200418007,1930606520,7305.16,3/24/2020,3/20/2020
PERFOR foundation,200722444,1930614520,45264,4/10/2020,3/30/2020
WAL-M llc,140106408,-2147483648,57833.84,3/19/2020,3/24/2020
AM corp,200418007,1930622198,1569.12,5/13/2020,3/27/2020
WAL-MAR us,200769623,1930614092,14983.02,3/24/2020,3/27/2020
SA ,200759878,1930618766,30936.47,3/24/2020,3/24/2020
COSTCO corporation,140104429,-2147483648,44132.74,3/19/2020,3/27/2020
BJ'S  corporation,200726979,1930629949,1818.39,3/24/2020,5/9/2020
US  in,200700919,1930626298,52906.42,3/24/2020,3/23/2020
SA foundation,200759878,1930619307,35433.35,3/24/2020,3/20/2020
US  ,200700919,1930624751,87447.01,3/29/2020,3/21/2020
COST llc,200794332,1930623012,51407.61,3/24/2020,3/20/2020
WAKE corp,200704858,1930621124,73182.12,3/24/2020,3/21/2020
COST associates,200794332,1930618733,14204.38,3/24/2020,3/22/2020
DECA us,200230690,1930624815,27,3/24/2020,3/20/2020
HEINZ systems,CC6530,1991839692,20227.57,4/23/2020,3/24/2020
BJ'S  trust,200726979,1930621075,332.26,3/24/2020,3/24/2020
WAL-MAR co,200769623,1930623641,40284.81,3/24/2020,3/24/2020
GROC corporation,200915438,1930610758,85633,3/25/2020,3/28/2020
WAL-MAR corporation,200769623,1930629565,4821.77,3/25/2020,4/1/2020
H E BUT ,200761734,1930635700,25355.97,3/25/2020,3/23/2020
INDUST in,100058416,1930635437,83459.76,3/20/2020,3/20/2020
WAL-MAR systems,200769623,1930622701,29997.88,3/25/2020,3/23/2020
METRO  llc,140104423,-2147483648,63082.12,3/20/2020,3/25/2020
KRAFT  corporation,CCU001,-2147483648,22570.44,4/16/2020,5/14/2020
WAL-MAR llc,200769623,1930629847,1322.24,3/25/2020,3/20/2020
HY -  in,200795490,1930631120,109389.98,3/25/2020,3/21/2020
OLLIE us,200076137,1930623447,5042.4,3/25/2020,3/21/2020
OLLIE corporation,200076137,1930622860,10551.2,3/25/2020,3/24/2020
DELHAIZE trust,100031704,1930628727,26443.8,3/25/2020,3/31/2020
WAL-MAR in,200769623,1930623728,63745.22,3/25/2020,3/25/2020
SYGMA associates,200782669,1930632228,20362.1,3/25/2020,3/28/2020
KING S in,200707005,1930624359,17997.44,3/25/2020,3/24/2020
RESTA associates,200974851,1930629992,2321.77,3/25/2020,3/28/2020
INTERR foundation,200580232,1930631100,31920,3/20/2020,3/27/2020
MCL associates,200799367,1930631485,80141.43,3/25/2020,3/30/2020
PUBLI corp,200707822,1930627451,71213.55,3/25/2020,3/21/2020
BJ'S  in,200726979,1930630169,1837.62,3/25/2020,3/23/2020
WEIS foundation,200771157,1930630094,13375.81,5/14/2020,3/27/2020
WAL-MAR co,200769623,1930629578,54193.38,3/25/2020,3/21/2020
H E BUT ,200761734,1930635700,25355.97,3/25/2020,4/16/2020
AM systems,200418007,1930623626,141933.99,3/25/2020,3/26/2020
WAL-MAR ,200769623,1930623214,40171.98,3/25/2020,3/21/2020
BAUGH SU ,200434439,1930636996,22348.8,3/30/2020,4/3/2020
COST corp,200794332,1930625102,32481.88,3/25/2020,3/27/2020
AM corp,200418007,1930623813,2821.88,3/25/2020,3/28/2020
FEDER ,140104240,-2147483648,16785.76,3/28/2020,4/1/2020
CPG llc,100052024,1930630654,9964.15,5/14/2020,3/31/2020
H T H us,200078795,1930632677,85.24,5/14/2020,3/18/2020
WAL-MAR trust,200769623,1930631830,35879.77,3/25/2020,3/26/2020
WAL-MAR systems,200769623,1930627618,2281.82,3/25/2020,3/25/2020
H E BUT in,200761734,1930632667,49216.37,3/25/2020,3/27/2020
SMITH'S systems,200466603,1930629587,86072.73,3/25/2020,3/22/2020
H E BUT corporation,200761734,1930625990,18761.55,3/25/2020,3/24/2020
OK trust,200739534,1930637117,20895.79,3/25/2020,5/16/2020
WAL-MAR foundation,200769623,1930629560,624.96,3/25/2020,5/16/2020
DOLLA corp,200148860,1930629313,58327.68,5/14/2020,5/16/2020
C&S WH corp,200762301,1930630446,24071.76,5/14/2020,3/27/2020
BUTTE llc,140103409,1991839687,2287.38,4/9/2020,3/16/2020
WAL-MAR co,200769623,1930629553,15180.73,3/25/2020,3/21/2020
BJ'S  associates,200726979,1930627478,1270.05,3/25/2020,3/24/2020
H E BUT foundation,200761734,1930621626,119577.34,3/25/2020,3/18/2020
SUPE us,200793568,1930628736,129007.74,3/25/2020,7/17/2020
KRAFT F llc,CCU013,1930613425,91.6,3/10/2020,3/28/2020
METRO  in,140104423,-2147483648,100493.49,3/23/2020,3/19/2020
BEN  co,200725421,1930624538,25309.29,3/25/2020,3/24/2020
WAL-MAR llc,200769623,1930632496,47327.21,3/25/2020,3/31/2020
CARIB systems,100043903,1990571715,12072.98,4/14/2020,4/10/2020
BEN  co,200725421,1930601032,18051.12,4/11/2020,3/18/2020
SYSCO FO associates,200780825,1930623288,23308.84,3/25/2020,3/24/2020
BRENH systems,200758531,1930632631,1954.97,3/25/2020,3/29/2020
C&S WH corp,200762301,1930624170,10202.29,3/25/2020,3/31/2020
WAL-MAR ,200769623,1930630115,1072.85,3/25/2020,3/24/2020
PIGGLY trust,200793122,1930627482,50493.76,3/25/2020,3/10/2020
SYSCO F in,200718130,1930632934,3267.97,3/25/2020,3/31/2020
FAMILY corporation,200786288,1930624021,15020.07,3/25/2020,4/11/2020
WAL-MAR ,200769623,1930630115,1072.85,3/25/2020,3/21/2020
AM trust,200418007,1930623812,7685,3/25/2020,3/25/2020
KROGER ,200732755,1930625090,69076.07,3/25/2020,3/21/2020
WAL-MAR ,200769623,1930629445,12210.63,3/25/2020,3/27/2020
WAL-MAR foundation,200769623,1930632719,6965.1,3/25/2020,3/30/2020
SCHNU co,200747369,1930636768,1168.82,3/25/2020,3/21/2020
DI corporation,200769369,1930630883,432.88,3/25/2020,3/21/2020
AMAZO systems,100030194,-2147483648,93578.13,3/21/2020,3/21/2020
OLLIE co,200076137,1930629761,27188.3,3/25/2020,5/17/2020
MEIJ trust,200780383,1930632148,21319.58,3/25/2020,5/19/2020
DOLLAR trust,100001196,1930624657,15376.17,3/25/2020,4/11/2020
US  associates,200571849,1930630997,11487.83,3/30/2020,3/27/2020
WAL-MAR llc,200769623,1930633782,20382.76,3/25/2020,3/27/2020
COST ,200794332,1930629482,91234.66,3/25/2020,3/17/2020
DELHAIZE trust,100031704,1930628729,32287.7,3/25/2020,3/27/2020
WAL-MAR foundation,200769623,1930629560,624.96,3/25/2020,3/27/2020
WAL-MAR us,200769623,1930636863,20579.5,3/25/2020,3/27/2020
DOLLA ,200148860,1930631936,6252.5,3/25/2020,3/27/2020
METRO  co,140104423,-2147483648,63119.67,3/22/2020,3/18/2020
WAL-MAR us,200769623,1930623746,48577.91,3/25/2020,3/18/2020
BOZZU corp,200779906,1930617687,2300.53,3/25/2020,3/27/2020
SA corp,200729942,1930631402,6993,3/25/2020,3/24/2020
MEIJ ,200780383,1930635310,10150.15,5/14/2020,3/22/2020
PUBLI associates,200707822,1930629332,67876.15,3/25/2020,3/24/2020
PROFIC corporation,200783609,1930603122,11501,4/11/2020,4/13/2020
SA associates,200759878,1930624107,35952.52,3/25/2020,3/27/2020
FR corporation,200705372,1930624444,4921.16,5/14/2020,5/14/2020
WAL-M foundation,140106408,-2147483648,3079.54,3/20/2020,3/27/2020
BJ'S  co,200726979,1930624781,536.53,3/25/2020,3/21/2020
WAL-MAR trust,200769623,1930622733,15607.37,3/25/2020,3/24/2020
SUPE trust,200793568,1930632193,80152.49,3/25/2020,3/31/2020
WAL-MAR in,200769623,1930629568,10197.1,3/25/2020,3/27/2020
FATH systems,200071186,1930627755,53163,3/25/2020,5/16/2020
SYGMA corporation,200782669,1930621985,28760.55,3/25/2020,3/16/2020
C&S WH trust,200762301,1930629793,8006.68,5/14/2020,5/6/2020
LOB us,140104409,-2147483648,1573.92,3/22/2020,3/24/2020
COST associates,200794332,1930623344,47634.03,3/25/2020,3/21/2020
AM systems,200418007,1930623629,20335.92,5/14/2020,3/22/2020
WAL-MAR systems,200769623,1930624928,59.88,3/25/2020,3/18/2020
KWI llc,200315290,1930625021,13078.12,3/25/2020,3/18/2020
BJ'S  ,200726979,1930628542,490,3/25/2020,3/30/2020
WAL-MAR ,200769623,1930636566,50567.88,3/25/2020,5/16/2020
COST llc,200794332,1930624844,8206.89,3/25/2020,3/6/2020
ASSOCIAT in,200772670,1930625371,18768.34,3/25/2020,3/3/2020
C&S WH us,200762301,1930629970,76644.47,3/25/2020,3/21/2020
KRAFT F foundation,CCU013,1930611337,904.64,3/10/2020,3/27/2020
PUBLI ,200707822,1930623441,71081.45,3/25/2020,3/31/2020
MCL us,200799367,1930601183,21713.98,3/25/2020,5/10/2020
COST ,200794332,1930637092,36907.4,5/14/2020,3/27/2020
SYSCO systems,200900909,1930635206,39983.57,4/11/2020,4/6/2020
WAL-MAR corp,200769623,1930627620,6450.89,3/25/2020,5/16/2020
KROG systems,200749782,1930605203,11091.24,3/25/2020,3/24/2020
BUTTE ,140103409,1991839788,13879.67,4/9/2020,3/31/2020
C&S WH ,200762301,1930632303,19430.62,3/25/2020,3/26/2020
PERFOR associates,200246495,1930570790,22136.24,3/25/2020,3/24/2020
C&S WH co,200762301,1930630526,68585.45,3/25/2020,3/27/2020
SWEET  ,200692711,1930637239,54944,3/20/2020,4/10/2020
WAL-MAR llc,200769623,1930629546,1208.46,3/25/2020,3/23/2020
NASH  trust,200777735,1930629897,96219.6,3/25/2020,3/24/2020
SA co,200759878,1930611678,10893.51,3/25/2020,3/21/2020
BJ'S  ,200726979,1930630145,273.52,3/25/2020,3/27/2020
SA us,200759878,1930629641,22633.65,3/25/2020,3/27/2020
SYSCO IN associates,100009932,1991841005,27054.43,4/9/2020,3/30/2020
VIEL us,200783317,1930627900,46675.12,3/25/2020,3/21/2020
WAL-MAR foundation,200769623,1930623841,23963.46,3/25/2020,3/18/2020
AMAZO llc,100030194,-2147483648,74711.4,3/21/2020,3/23/2020
WAL-MAR ,200769623,1930624212,15653.03,3/25/2020,3/21/2020
MCL corporation,200799367,1930625992,104772.94,3/25/2020,3/27/2020
C&S WH corp,200762301,1930623858,959.61,5/14/2020,3/21/2020
NASH  trust,200777735,1930629897,96219.6,3/25/2020,3/27/2020
US  corp,200357714,1930632544,19826.34,3/30/2020,3/27/2020
LOB corporation,140104409,-2147483648,5039.82,3/27/2020,3/22/2020
SUPE corp,200936373,1930628040,18475.72,3/25/2020,4/11/2020
C&S WH in,200762301,1930623531,14975.61,3/25/2020,3/24/2020
M systems,200793830,1930630379,78131.29,3/25/2020,3/23/2020
COST corp,200794332,1930624763,24626.03,3/25/2020,3/27/2020
SHAWS  llc,200275115,1930627465,139477.09,3/25/2020,4/2/2020
WAL-MAR us,200769623,1930623664,69872.35,3/25/2020,3/23/2020
US  ,200797452,1930635257,49088.33,3/25/2020,3/22/2020
PERFOR trust,200716210,1930631840,875.39,3/25/2020,3/21/2020
BJ'S  corporation,200726979,1930624945,521.34,3/25/2020,3/27/2020
AM associates,200418007,1930624215,102626.4,3/25/2020,3/21/2020
SYSCO F associates,200718130,1930632932,18345.56,3/25/2020,3/28/2020
AL llc,200739006,1930622096,22097.69,3/25/2020,3/27/2020
H E BUT co,200761734,1930630037,102294.76,3/25/2020,3/21/2020
MAINES in,200516657,1930597874,8626.45,3/25/2020,4/3/2020
KRAFT F trust,CCU013,1930613426,9708.21,3/10/2020,3/26/2020
COST us,200794332,1930623246,30360.88,3/25/2020,3/26/2020
AMAZO foundation,100030194,-2147483648,4873.48,3/21/2020,4/3/2020
SOLOM foundation,140103392,1991840724,5563.6,4/9/2020,4/3/2020
WAL-MAR co,200769623,1930623665,80456.3,3/25/2020,3/26/2020
BJ'S  in,200726979,1930630169,1837.62,3/25/2020,3/26/2020
NASH  us,200777735,1930630235,262.27,3/25/2020,3/26/2020
H T  foundation,140049310,1930632492,23810.02,3/25/2020,3/26/2020
RESTA systems,200974851,1930635300,2144.11,3/25/2020,3/20/2020
COST corp,200794332,1930628337,9086.04,3/25/2020,3/31/2020
PERFOR in,200783189,1930630603,68832.91,3/25/2020,3/5/2020
MEIJ llc,200780383,1930632918,21302.1,5/14/2020,5/16/2020
SA trust,200759878,1930627203,42425.35,3/25/2020,3/22/2020
WAL-MAR llc,200769623,1930624262,388.29,3/25/2020,3/26/2020
GORDON F llc,140105847,-2147483648,1946,3/21/2020,3/26/2020
AM systems,200418007,1930623626,141933.99,3/25/2020,3/20/2020
SUPE trust,200793568,1930636715,723.55,3/25/2020,3/26/2020
MID MO ,200723794,1930630536,20718.95,5/14/2020,3/29/2020
SA corporation,200759878,1930626292,38659.17,3/25/2020,4/18/2020
WAL-MAR systems,200769623,1930624922,8630.81,3/25/2020,3/20/2020
LOB corporation,140104409,-2147483648,5039.82,3/27/2020,3/26/2020
THE NO foundation,140104552,-2147483648,135223.92,3/27/2020,5/23/2020
WAL-MAR co,200769623,1930624295,40642.88,3/25/2020,3/27/2020
RA llc,200704045,1930643300,64313.12,3/26/2020,5/10/2020
KROGER systems,200729290,1930637575,127881.06,3/26/2020,3/24/2020
WAL-MAR us,200769623,1930625355,1080.9,3/26/2020,5/10/2020
WAL-MAR corp,200769623,1930629785,47394.54,3/26/2020,3/29/2020
PUBLI us,200707822,1930641617,85462.08,3/26/2020,3/31/2020
BAS ,100004536,1930637046,8977.85,5/15/2020,3/21/2020
SPAR llc,200712187,1930635838,4855.5,5/15/2020,3/21/2020
AM corp,200418007,1930628826,619.2,3/26/2020,3/27/2020
WAL-MAR trust,200769623,1930635465,16395.49,3/26/2020,4/4/2020
TARG in,200744019,1930635276,9025.72,5/15/2020,3/27/2020
SA trust,200759878,1930625325,13761.78,3/26/2020,3/27/2020
WAKE corp,200704858,1930635702,40427.61,3/26/2020,3/27/2020
US  foundation,200943275,1930643405,60117.18,3/26/2020,3/22/2020
WAL-MAR systems,200769623,1930629678,23778.14,3/26/2020,3/21/2020
WAL-MAR co,200769623,1930630049,824.93,3/26/2020,4/1/2020
